# sample output of categories mapreduce job
1._Baseballový_klub_Slávia_UPJŠ_Košice	Kategorie: Šport_v_Košiciach Slovenské_bejzbalové_kluby
1._FC_Kaiserslautern	Kategorie: Nemecké_futbalové_kluby Futbalové_kluby_založené_v_1900 1._FC_Kaiserslautern
1._FC_Köln	Kategorie: Nemecké_futbalové_kluby Kolín_nad_Rýnom Futbalové_kluby_založené_v_1948
1._FC_Norimberg	Kategorie: Futbalové_kluby_založené_v_1900 1._FC_Norimberg Nemecké_futbalové_kluby
1._FC_Slovácko	Kategorie: 1._FC_Slovácko České_futbalové_kluby
1._FC_Tatran_Prešov	Kategorie: 1._FC_Tatran_Prešov Slovenské_futbalové_kluby Futbalové_kluby_založené_v_1898
1._FSV_Mainz_05	Kategorie: Nemecké_futbalové_kluby 1._FSV_Mainz_05 Futbalové_kluby_založené_v_1905
1._Gambrinus_liga_1997/1998	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_1998/1999	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_1999/2000	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2000/2001	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2001/2002	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2002/2003	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2003/2004	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2004/2005	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2005/2006	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2006/2007	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2007/2008	Kategorie: 1._česká_futbalová_liga
1._Gambrinus_liga_2008/2009	Kategorie: 1._česká_futbalová_liga Futbal_v_2009 Futbal_v_2008
1._Gambrinus_liga_2010/2011	Kategorie: 1._česká_futbalová_liga Futbal_v_2011 Futbal_v_2010
