# sample output of labels mapreduce job
1._FC_Košice	Label: 1. FC Košice
1._FC_Köln	Label: 1. FC Köln
1._FC_Norimberg	Label: 1. FC Norimberg
1._FC_Nuremberg	Label: 1. FC Nuremberg
1._FC_Nürnberg	Label: 1. FC Nürnberg
1._FC_Slovácko	Label: 1. FC Slovácko
1._FC_Synot	Label: 1. FC Synot
1._FC_Tatran_Prešov	Label: 1. FC Tatran Prešov
1._FK_Drnovice	Label: 1. FK Drnovice
1._FSV_Mainz_05	Label: 1. FSV Mainz 05
1._Gambrinus_liga	Label: 1. Gambrinus liga
1._Gambrinus_liga_1997/1998	Label: 1. Gambrinus liga 1997/1998
1._Gambrinus_liga_1997/98	Label: 1. Gambrinus liga 1997/98
1._Gambrinus_liga_1998/1999	Label: 1. Gambrinus liga 1998/1999
1._Gambrinus_liga_1998/99	Label: 1. Gambrinus liga 1998/99
1._Gambrinus_liga_1999/00	Label: 1. Gambrinus liga 1999/00
1._Gambrinus_liga_1999/2000	Label: 1. Gambrinus liga 1999/2000
1._Gambrinus_liga_2000/01	Label: 1. Gambrinus liga 2000/01
1._Gambrinus_liga_2000/2001	Label: 1. Gambrinus liga 2000/2001
1._Gambrinus_liga_2001/02	Label: 1. Gambrinus liga 2001/02
1._Gambrinus_liga_2001/2002	Label: 1. Gambrinus liga 2001/2002
