# sample output of ids mapreduce job
1._FC_Kaiserslautern	ID: 316114
1._FC_Kolín	ID: 390666
1._FC_Košice	ID: 304694
1._FC_Köln	ID: 325960
1._FC_Norimberg	ID: 150108
1._FC_Nuremberg	ID: 319821
1._FC_Nürnberg	ID: 150116
1._FC_Slovácko	ID: 252165
1._FC_Synot	ID: 252167
1._FC_Tatran_Prešov	ID: 108272
1._FK_Drnovice	ID: 253547
1._FSV_Mainz_05	ID: 318670
1._Gambrinus_liga	ID: 219320
1._Gambrinus_liga_1997/1998	ID: 252363
1._Gambrinus_liga_1997/98	ID: 381748
1._Gambrinus_liga_1998/1999	ID: 252513
1._Gambrinus_liga_1998/99	ID: 381750
1._Gambrinus_liga_1999/00	ID: 381751
